laptop_ID,Company,Product,TypeName,Inches,Ram,OpSys,Weight,Price_in_euros,Touchscreen,ResolutionCategory,Memory_Storage,Memory_Type,Memory_Dual,Cpu_Brand,Cpu_Family,Cpu_Generation,Cpu_Frequency,Gpu_Marca,Gpu_Familia,Gpu_Modelo
1192,Lenovo,IdeaPad 510-15IKB,Notebook,15.6,8,No OS,2.2,709.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.7,Nvidia,GeForce,940MX
1210,HP,250 G6,Notebook,15.6,4,Windows 10,1.86,485.0,0,HD,500.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,4,Windows 10,1.91,439.0,0,Full HD,128.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
787,Razer,Blade Pro,Gaming,14.0,16,Windows 10,1.95,2899.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1060
378,Asus,Rog Strix,Gaming,17.3,16,Windows 10,3.25,2199.0,0,Full HD,1256.0,SSD+HDD,1,AMD,AMD Ryzen,1.0,3.0,AMD,Radeon RX,580
1022,HP,ProBook 440,Notebook,14.0,8,Windows 10,1.64,1049.26,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Nvidia,GeForce,930MX
884,Lenovo,Thinkpad 13,Notebook,13.3,4,Windows 10,1.44,735.0,0,Full HD,180.0,SSD,0,Intel,Intel Core,7.0,2.4,Intel,HD Graphics,620
591,Dell,Chromebook 11,Netbook,11.6,4,Chrome OS,1.26,295.0,0,HD,16.0,Flash,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,400
200,Razer,Blade Pro,Gaming,17.3,32,Windows 10,3.49,6099.0,1,4K,1000.0,SSD,0,Intel,Intel Core,7.0,2.9,Nvidia,GeForce GTX,1080
1291,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,6,Windows 10,2.19,764.0,0,HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.5,AMD,Radeon R5,M330
119,HP,Probook 440,Notebook,14.0,8,Windows 10,1.63,1084.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,8.0,1.8,Intel,UHD Graphics,620
296,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,8,Windows 10,3.0,1187.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
59,MSI,GS73VR 7RG,Gaming,17.3,16,Windows 10,2.43,2449.0,0,Full HD,2256.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1070
266,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,4,No OS,2.2,444.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
1268,Dell,Inspiron 3552,Notebook,15.6,4,Linux,2.2,324.0,0,HD,500.0,HDD,0,Intel,Intel Pentium,3.0,1.6,Intel,HD,Graphics
83,Apple,"MacBook 12""",Ultrabook,12.0,8,macOS,0.92,1510.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,,1.3,Intel,HD Graphics,615
675,HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,8,Windows 10,2.1,745.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.7,AMD,Radeon,530
1012,Asus,Rog GL553VE-DS74,Gaming,15.6,16,Windows 10,2.5,1799.0,0,Full HD,1256.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX 1050,Ti
1105,Dell,Inspiron 3552,Notebook,15.6,4,Linux,2.2,393.49,0,HD,500.0,HDD,0,Intel,Intel Pentium,3.0,1.6,Intel,HD,Graphics
325,HP,Elitebook 840,Notebook,14.0,8,Windows 10,1.48,1292.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
1001,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.5,1189.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1060
1137,HP,EliteBook 1040,Notebook,14.0,8,Windows 7,1.43,1513.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
740,HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,6,Windows 10,2.1,650.0,0,Full HD,1128.0,SSD+HDD,1,AMD,AMD A9-Series,9.0,3.0,AMD,Radeon,520
606,Dell,Precision 3520,Workstation,15.6,8,Windows 10,2.06,1763.0,1,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,Quadro,M620
1130,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.23,1379.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.4,Intel,Iris Plus Graphics,640
1146,Lenovo,ThinkPad P40,2 in 1 Convertible,14.0,8,Windows 7,1.8,2050.38,1,Full HD,512.0,SSD,0,Intel,Intel Core,6.0,2.6,Nvidia,Quadro,M500M
698,Acer,Chromebook 14,Notebook,14.0,4,Chrome OS,1.45,375.0,0,HD,32.0,Flash,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,510
916,Lenovo,ThinkPad T570,Notebook,15.6,8,Windows 10,1.95,1962.99,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
722,Dell,Latitude 5580,Notebook,15.6,16,Windows 10,1.93,1426.66,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.6,Intel,HD Graphics,620
736,Dell,Inspiron 5567,Notebook,15.6,8,Linux,2.32,589.52,0,HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.5,AMD,Radeon R7,M445
1271,Lenovo,ThinkPad L460,Notebook,14.0,8,Windows 10,1.9,1072.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
1129,Lenovo,Yoga Book,2 in 1 Convertible,10.1,4,Android,0.69,549.0,1,Full HD,64.0,Flash,0,Intel,Intel Atom,8.0,1.44,Intel,HD Graphics,400
254,Apple,MacBook Pro,Ultrabook,13.3,8,macOS,1.37,2040.0,0,2K/QHD,512.0,SSD,0,Intel,Intel Core,,3.1,Intel,Iris Plus Graphics,650
1167,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,8,Windows 10,1.27,2339.0,1,2K/QHD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
534,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,No OS,2.2,459.0,0,HD,2000.0,HDD,0,Intel,Intel Core,6.0,2.0,Nvidia,GeForce,920MX
567,Acer,Spin SP111-31,2 in 1 Convertible,11.6,4,Windows 10,1.25,349.0,1,Full HD,32.0,Flash,0,Intel,Intel Celeron,3.0,2.0,Intel,HD Graphics,500
1208,Lenovo,Legion Y520-15IKBN,Gaming,15.6,8,Windows 10,2.4,819.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.5,Nvidia,GeForce GTX,1050
202,HP,Omen 17-W295,Gaming,17.3,16,Windows 10,3.35,1379.0,0,Full HD,1256.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
1037,HP,ProBook 440,Notebook,14.0,8,Windows 10,1.64,1185.43,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Nvidia,GeForce,930MX
1040,HP,ProBook 650,Notebook,14.0,4,Windows 10,2.31,1189.0,0,HD,500.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
153,Dell,Inspiron 5577,Gaming,15.6,16,Windows 10,2.56,1249.26,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
563,Mediacom,SmartBook 130,Notebook,13.3,4,Windows 10,1.35,255.0,0,Full HD,32.0,Flash,0,Intel,Intel Atom,8.0,1.44,Intel,HD,Graphics
611,Dell,Vostro 3568,Notebook,15.6,4,Linux,2.18,465.0,0,HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.0,AMD,Radeon R5,M420
323,HP,ProBook 640,Notebook,14.0,8,Windows 10,1.95,980.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
1166,HP,EliteBook 850,Notebook,15.6,8,Windows 7,1.88,1579.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,8,Windows 10,2.45,699.0,0,Full HD,1000.0,HDD,0,AMD,AMD FX,9.0,3.0,AMD,Radeon RX,560
462,Dell,Inspiron 3168,2 in 1 Convertible,11.6,4,Windows 10,1.47,479.0,1,HD,500.0,HDD,0,Intel,Intel Pentium,3.0,1.6,Intel,HD Graphics,405
1089,Lenovo,ThinkPad Yoga,Ultrabook,12.5,8,Windows 10,1.3,1713.49,1,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
592,MSI,GT80S 6QE,Gaming,17.3,16,Windows 10,4.5,2349.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,6.0,2.7,Nvidia,GeForce GTX,980M
748,Dell,Inspiron 7560,Notebook,15.6,8,Windows 10,2.0,1207.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.7,Nvidia,GeForce,940MX
657,Lenovo,Thinkpad X270,Ultrabook,12.5,8,Windows 10,1.36,1584.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
1057,Lenovo,Thinkpad L560,Notebook,15.6,8,Windows 10,2.3,1049.6,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
245,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,8,Windows 10,2.2,589.0,0,HD,128.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
1101,HP,ZBook 15u,Workstation,15.6,8,Windows 7,1.9,1495.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,AMD,FirePro,W4190M
409,Lenovo,ThinkPad E580,Notebook,15.6,8,Windows 10,2.1,1144.5,0,Full HD,1256.0,SSD+HDD,1,Intel,Intel Core,8.0,1.6,AMD,Radeon RX,550
444,Google,Pixelbook (Core,Ultrabook,12.3,16,Chrome OS,1.1,2199.0,1,Full HD,512.0,SSD,0,Intel,Intel Core,,1.3,Intel,HD Graphics,615
780,Samsung,Notebook 9,2 in 1 Convertible,15.0,16,Windows 10,1.71,1799.0,1,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,AMD,Radeon,540
211,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.21,1949.0,1,4K,256.0,SSD,0,Intel,Intel Core,8.0,1.8,Intel,UHD Graphics,620
418,Lenovo,Thinkpad T470p,Ultrabook,14.0,8,Windows 10,1.7,1943.0,0,2K/QHD,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GT,940MX
762,Lenovo,Thinkpad T460,Ultrabook,14.0,4,Windows 10,1.7,1096.0,0,Full HD,180.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
1290,Lenovo,IdeaPad 100S-14IBR,Notebook,14.0,2,Windows 10,1.5,229.0,0,HD,64.0,Flash,0,Intel,Intel Celeron,3.0,1.6,Intel,HD,Graphics
943,HP,ProBook 640,Notebook,14.0,4,Windows 10,1.95,1149.0,0,HD,500.0,HDD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
578,HP,14-am079na (N3710/8GB/2TB/W10),Notebook,14.0,8,Windows 10,1.94,389.0,0,HD,2000.0,HDD,0,Intel,Intel Pentium,3.0,1.6,Intel,HD Graphics,405
95,Dell,Inspiron 7577,Gaming,15.6,8,Windows 10,2.65,1195.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Nvidia,GeForce GTX,1060
1165,Dell,Vostro 5568,Notebook,15.6,8,Windows 10,2.18,1009.9,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Nvidia,GeForce,940MX
547,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.2,1399.0,1,2K/QHD,256.0,SSD,0,Intel,Intel Core,8.0,1.8,Intel,UHD Graphics,620
582,Mediacom,SmartBook 141,Notebook,14.0,4,Windows 10,1.4,249.0,0,Full HD,32.0,SSD,0,Intel,Intel Atom,8.0,1.44,Intel,HD,Graphics
1196,MSI,GS60 Ghost,Gaming,15.6,16,Windows 10,1.91,2153.37,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,970M
180,Acer,Aspire A315-51,Notebook,15.6,4,Windows 10,2.1,449.0,0,HD,128.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
623,Dell,Vostro 3568,Notebook,15.6,4,Linux,2.18,569.0,0,Full HD,128.0,SSD,0,Intel,Intel Core,7.0,2.5,AMD,Radeon R5,M420
176,Lenovo,IdeaPad 320-15AST,Notebook,15.6,4,No OS,2.2,309.0,0,HD,500.0,HDD,0,AMD,AMD A6-Series,9.0,2.9,AMD,Radeon R4,Graphics
424,HP,EliteBook 1040,Ultrabook,14.0,8,Windows 10,1.43,1500.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
650,Lenovo,ThinkPad X1,Ultrabook,14.0,16,Windows 10,1.14,2450.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
1072,Dell,Inspiron 7378,2 in 1 Convertible,13.3,12,Windows 10,1.6,1299.0,1,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
1244,Dell,XPS 13,Ultrabook,13.3,8,Windows 10,1.29,1477.0,1,2K/QHD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
878,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,8,Windows 10,1.37,1950.0,1,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
934,Dell,Vostro 3568,Notebook,15.6,4,Windows 10,2.18,684.99,0,HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.5,AMD,Radeon R5,M420
1222,Asus,FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,Gaming,15.6,8,Windows 10,2.2,1169.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,1060
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,8,Windows 10,2.05,598.0,0,HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.7,Intel,HD Graphics,620
1115,Dell,Latitude E5270,Ultrabook,12.5,4,Windows 7,1.5,1135.15,0,HD,500.0,HDD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
1016,Dell,Vostro 3568,Notebook,15.6,4,Windows 10,2.18,547.0,0,HD,128.0,SSD,0,Intel,Intel Core,7.0,2.4,Intel,HD Graphics,620
796,Lenovo,Legion Y520-15IKBN,Gaming,15.6,4,Windows 10,2.4,999.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
710,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,8,Windows 10,2.2,429.0,0,HD,1000.0,HDD,0,AMD,AMD A12-Series,9.0,3.6,AMD,Radeon,R7
196,Xiaomi,Mi Notebook,Ultrabook,13.3,8,No OS,1.3,999.9,0,Full HD,256.0,SSD,0,Intel,Intel Core,7.0,2.5,Nvidia,GeForce,MX150
1309,Acer,Aspire ES1-531,Notebook,15.6,4,Linux,2.4,289.0,0,HD,500.0,HDD,0,Intel,Intel Celeron,3.0,1.6,Intel,HD Graphics,400
76,Acer,Aspire E5-475,Notebook,14.0,8,Windows 10,2.1,389.0,0,HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
54,HP,ProBook 430,Notebook,13.3,8,Windows 10,1.49,1103.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,8.0,1.8,Intel,UHD Graphics,620
731,Dell,Alienware 17,Gaming,17.3,32,Windows 10,4.36,3659.4,0,4K,2000.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1070
1297,Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,8,Windows 10,2.6,899.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,6.0,2.6,Nvidia,GeForce GTX,960M
1171,Dell,Inspiron 7567,Gaming,15.6,8,Windows 10,2.62,1199.0,0,Full HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050Ti
1041,HP,ProBook 640,Notebook,14.0,4,Windows 10,1.95,1060.0,0,HD,500.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
739,Dell,Inspiron 3567,Notebook,15.6,12,Windows 10,2.25,649.0,0,HD,1000.0,HDD,0,Intel,Intel Core,7.0,2.5,Intel,HD Graphics,620
356,Dell,XPS 15,Notebook,15.6,16,Windows 10,2.06,2027.42,1,4K,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
494,Dell,XPS 15,Notebook,15.6,16,Windows 10,2.06,1899.0,0,Full HD,512.0,SSD,0,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
521,Xiaomi,Mi Notebook,Notebook,15.6,16,No OS,1.95,1399.95,0,Full HD,256.0,SSD,0,Intel,Intel Core,8.0,1.8,Nvidia,GeForce,MX150
1288,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14.0,4,Windows 10,1.8,638.0,1,Full HD,128.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
677,Acer,Aspire 3,Notebook,15.6,4,Linux,2.1,412.0,0,HD,128.0,SSD,0,Intel,Intel Core,6.0,2.0,Intel,HD Graphics,520
1213,HP,Pavilion Power,Notebook,15.6,12,Windows 10,2.21,1327.0,0,Full HD,1128.0,SSD+HDD,1,Intel,Intel Core,7.0,2.8,Nvidia,GeForce GTX,1050
1033,HP,EliteBook 1040,Notebook,14.0,8,Windows 10,1.43,2229.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.5,Intel,HD Graphics,520
760,HP,EliteBook 850,Notebook,15.6,8,Windows 10,1.84,1900.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.4,Intel,HD Graphics,520
503,Lenovo,Ideapad 520-15IKBR,Notebook,15.6,8,Windows 10,2.17,898.9,0,Full HD,256.0,SSD,0,Intel,Intel Core,8.0,1.8,Intel,UHD Graphics,620
1136,HP,Spectre Pro,Notebook,13.3,8,Windows 10,1.16,1690.0,0,Full HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
877,Toshiba,Port̩g̩ Z30-C-188,Ultrabook,13.3,8,Windows 10,1.2,1095.0,0,HD,256.0,SSD,0,Intel,Intel Core,6.0,2.3,Intel,HD Graphics,520
